customer_ID,Recency,Frequency,Monetary
1991,83,17,820.39
15842,30,10,816.66
12885,24,11,816.61
17038,24,13,814.26
5131,20,14,814.21
6833,16,9,814.0
2389,3,14,810.83
3733,44,15,809.89
4328,21,14,808.2
15365,83,10,807.99
4993,10,9,805.56
16452,230,4,804.46
13172,10,17,803.84
2647,101,5,795.83
19791,120,8,794.86
22841,54,17,794.69
7391,196,13,794.28
2429,23,16,792.09
17162,198,11,788.91
11482,14,6,787.6
19395,51,12,787.06
22395,68,8,785.44
9827,31,15,783.24
15744,162,10,780.74
797,3,16,775.93
21459,11,6,775.91
2957,44,15,775.82
23060,11,6,774.41
2930,480,5,772.42
10355,359,6,768.83
11462,51,4,766.57
20214,35,10,766.04
16467,0,14,765.81
3206,4,12,765.37
19298,165,13,765.19
10218,26,7,762.9
20668,91,8,762.85
2266,55,16,761.68
14569,143,9,757.79
11292,46,9,755.46
4240,98,11,755.19
22228,99,8,752.66
9355,505,2,752.45
18777,11,12,751.72
17421,46,11,750.82
14153,33,7,750.37
21770,1,17,749.87
1195,23,17,746.04
12568,16,9,745.71
4302,53,8,745.53
9112,7,8,740.69
21934,31,12,738.15
8008,205,8,736.77
6690,24,16,735.91
3176,30,5,732.93
2953,96,12,732.73
6482,14,11,731.04
4821,362,10,729.25
13541,27,10,728.98
6322,15,13,728.5
21229,47,11,728.34
12902,38,6,726.47
2356,169,13,725.26
3537,235,2,722.32
2158,35,12,721.91
21122,50,9,721.2
8358,152,11,720.53
12845,83,14,719.92
10455,261,8,718.78
12842,151,8,717.29
11279,7,13,716.49
16865,273,15,715.89
9884,236,16,711.45
22314,112,4,710.32
13680,15,14,709.8
11475,8,12,709.63
19391,26,11,708.64
3285,16,9,706.0
4894,103,14,704.29
2275,32,6,702.75
5658,62,17,701.82
5804,7,15,698.49
6866,2,11,696.29
15177,47,10,694.41
14359,155,11,693.23
16809,51,14,690.8
5509,20,14,687.66
19401,73,15,687.11
11682,149,16,686.13
13820,193,6,685.78
546,33,5,685.46
9132,117,13,685.1
5835,70,7,684.82
19701,92,7,683.18
16498,7,12,681.96
6529,343,13,681.23
21396,424,3,680.99
14599,15,17,677.01
8152,20,7,676.33
20695,72,15,676.11
22649,12,14,676.08
14184,20,16,675.99
23179,397,12,675.74
3412,83,16,675.53
18764,39,17,675.44
3559,49,13,673.63
9210,15,5,673.56
21345,18,10,671.5
