customer_ID,Recency,Frequency,Monetary,Segment
1991,83,17,820.39,Loyal
15842,30,10,816.66,Loyal
12885,24,11,816.61,Loyal
17038,24,13,814.26,Loyal
5131,20,14,814.21,Loyal
6833,16,9,814,Loyal
2389,3,14,810.83,Loyal
3733,44,15,809.89,Loyal
4328,21,14,808.2,Loyal
15365,83,10,807.99,Loyal
4993,10,9,805.56,Loyal
16452,230,4,804.46,Loyal
13172,10,17,803.84,Loyal
2647,101,5,795.83,Loyal
19791,120,8,794.86,Loyal
22841,54,17,794.69,Loyal
7391,196,13,794.28,Loyal
2429,23,16,792.09,Loyal
17162,198,11,788.91,Loyal
11482,14,6,787.6,Loyal
19395,51,12,787.06,Loyal
22395,68,8,785.44,Loyal
9827,31,15,783.24,Loyal
15744,162,10,780.74,Loyal
797,3,16,775.93,Loyal
21459,11,6,775.91,Loyal
2957,44,15,775.82,Loyal
23060,11,6,774.41,Loyal
2930,480,5,772.42,Loyal
10355,359,6,768.83,Loyal
11462,51,4,766.57,Loyal
20214,35,10,766.04,Loyal
16467,0,14,765.81,Loyal
3206,4,12,765.37,Loyal
19298,165,13,765.19,Loyal
10218,26,7,762.9,Loyal
20668,91,8,762.85,Loyal
2266,55,16,761.68,Loyal
14569,143,9,757.79,Loyal
11292,46,9,755.46,Loyal
4240,98,11,755.19,Loyal
22228,99,8,752.66,Loyal
9355,505,2,752.45,Promising
18777,11,12,751.72,Loyal
17421,46,11,750.82,Loyal
14153,33,7,750.37,Loyal
21770,1,17,749.87,Loyal
1195,23,17,746.04,Loyal
12568,16,9,745.71,Loyal
4302,53,8,745.53,Loyal
9112,7,8,740.69,Loyal
21934,31,12,738.15,Loyal
8008,205,8,736.77,Loyal
6690,24,16,735.91,Loyal
3176,30,5,732.93,Loyal
2953,96,12,732.73,Loyal
6482,14,11,731.04,Loyal
4821,362,10,729.25,Loyal
13541,27,10,728.98,Loyal
6322,15,13,728.5,Loyal
21229,47,11,728.34,Loyal
12902,38,6,726.47,Loyal
2356,169,13,725.26,Loyal
3537,235,2,722.32,Promising
2158,35,12,721.91,Loyal
21122,50,9,721.2,Loyal
8358,152,11,720.53,Loyal
12845,83,14,719.92,Loyal
10455,261,8,718.78,Loyal
12842,151,8,717.29,Loyal
11279,7,13,716.49,Loyal
16865,273,15,715.89,Loyal
9884,236,16,711.45,Loyal
22314,112,4,710.32,Loyal
13680,15,14,709.8,Loyal
11475,8,12,709.63,Loyal
19391,26,11,708.64,Loyal
3285,16,9,706,Loyal
4894,103,14,704.29,Loyal
2275,32,6,702.75,Loyal
5658,62,17,701.82,Loyal
5804,7,15,698.49,Loyal
6866,2,11,696.29,Loyal
15177,47,10,694.41,Loyal
14359,155,11,693.23,Loyal
16809,51,14,690.8,Loyal
5509,20,14,687.66,Loyal
19401,73,15,687.11,Loyal
11682,149,16,686.13,Loyal
13820,193,6,685.78,Loyal
546,33,5,685.46,Loyal
9132,117,13,685.1,Loyal
5835,70,7,684.82,Loyal
19701,92,7,683.18,Loyal
16498,7,12,681.96,Loyal
6529,343,13,681.23,Loyal
21396,424,3,680.99,Promising
14599,15,17,677.01,Loyal
8152,20,7,676.33,Loyal
20695,72,15,676.11,Loyal
22649,12,14,676.08,Loyal
14184,20,16,675.99,Loyal
23179,397,12,675.74,Loyal
3412,83,16,675.53,Loyal
18764,39,17,675.44,Loyal
3559,49,13,673.63,Loyal
9210,15,5,673.56,Loyal
21345,18,10,671.5,Loyal
16684,81,7,671.04,Loyal
659,27,17,670,Loyal
15423,2,10,669.56,Loyal
14208,88,8,667.62,Loyal
4988,14,9,667.36,Loyal
8992,6,9,666.23,Loyal
22664,42,8,665.47,Loyal
16123,19,15,664.87,Loyal
4401,55,14,664.25,Loyal
19662,88,9,664.11,Loyal
22825,10,9,663.48,Loyal
18445,67,7,663.27,Loyal
22264,19,6,662.88,Loyal
22268,12,8,661.35,Loyal
13846,6,17,660.23,Loyal
6218,7,12,660.1,Loyal
14625,0,13,659.55,Loyal
8852,130,15,659.42,Loyal
10446,12,11,659.18,Loyal
14589,132,10,658.8,Loyal
23191,105,14,657.78,Loyal
6348,138,11,657.33,Loyal
8688,63,11,656.76,Loyal
11109,62,11,656.54,Loyal
19066,49,9,655.87,Loyal
2533,35,8,654,Loyal
20,528,2,653.01,Promising
7856,53,5,650.49,Loyal
10622,209,5,650.22,Loyal
13955,198,12,650.2,Loyal
20170,138,15,649.94,Loyal
15518,32,8,647.75,Loyal
14018,231,8,646.89,Loyal
14010,27,7,646.71,Loyal
15929,75,15,646.18,Loyal
3230,227,6,644.75,Loyal
1719,202,13,642.44,Loyal
7066,31,8,642.19,Loyal
3936,12,12,642.02,Loyal
11501,92,8,641.75,Loyal
8712,46,7,641.69,Loyal
2159,3,13,641.32,Loyal
20200,287,15,640.49,Loyal
6153,23,9,639.36,Loyal
4641,80,9,638.81,Loyal
10560,119,6,638.32,Loyal
7306,257,9,636.25,Loyal
16822,92,7,633.58,Loyal
9237,130,17,633.53,Loyal
9179,22,12,633.27,Loyal
22861,4,15,632.71,Loyal
6500,10,10,632.45,Loyal
8969,14,8,630.54,Loyal
18532,13,12,625.3,Loyal
4686,124,6,624.78,Loyal
5608,29,9,624.13,Loyal
4209,206,9,624.04,Loyal
8037,18,4,623.3,Loyal
13493,4,8,622.64,Loyal
18710,95,8,621.66,Loyal
5112,12,17,620.49,Loyal
8265,124,5,619.16,Loyal
5883,51,10,617.27,Loyal
15246,94,15,615.33,Loyal
11513,104,9,615.13,Loyal
14019,16,5,615.04,Loyal
16363,9,14,614.96,Loyal
13212,285,7,613.94,Loyal
17240,8,8,613.56,Loyal
16709,312,9,612.83,Loyal
17606,12,9,611.83,Loyal
19158,82,7,610.76,Loyal
8393,75,14,610.59,Loyal
12215,124,8,609.79,Loyal
6355,24,10,609.5,Loyal
12455,20,17,608.82,Loyal
5379,77,13,608.66,Loyal
19448,23,12,607.8,Loyal
20656,4,16,606.9,Loyal
17914,26,6,605.22,Loyal
11249,91,5,604.63,Loyal
4748,8,10,603.22,Loyal
10823,101,11,603.16,Loyal
4678,98,6,602.93,Loyal
2760,54,7,602.25,Loyal
824,18,12,600.37,Loyal
3384,33,7,600.12,Loyal
6789,32,7,598.99,Loyal
783,12,11,598.65,Loyal
16458,60,7,598.62,Loyal
635,65,8,598.57,Loyal
1785,222,11,597.58,Loyal
13093,20,8,597.13,Loyal
22824,13,9,595.63,Loyal
20071,289,5,595.19,Loyal
16944,3,15,593.35,Loyal
9299,32,17,592.96,Loyal
19226,59,7,592.81,Loyal
2033,107,6,591.28,Loyal
10344,168,12,588.9,Loyal
2601,33,8,588.28,Loyal
6067,28,7,587.83,Loyal
18290,124,5,587.51,Loyal
